 ,"TITULAR
OIC","SECTOR
OIC",DEPENDENCIA / ENTIDAD,NOMBRE TITULAR,SECTOR,DECRETO DE CREACI‡N,ORGANIGRAMA AUTORIZADO,FECHA,Estatus RI en POE,Fecha de Publicaci¢n POE,ENLACE POE,COMENTARIOS,MANUAL DE REMUNERACIONES,Fecha de Publicaci¢n,ENLACE,
1,,,DESPACHO DEL EJECUTIVO,MTRA. MARIA EUGENIA CAMPOS GALVµN,Central,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
2,,,CONSEJER÷A JUR÷DICA DEL EJECUTIVO DEL ESTADO,LIC. JOSê CARLOS RIVERA ALCALµ,Central,https://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/161.pdf,https://drive.google.com/file/d/1rIzPYPtos3IX79DD7WZsFf6-g-HnyK1H/view,Enero 2024,PUBLICADO,01-may-24,https://chihuahua.gob.mx/sites/default/atach2/periodico-oficial/anexos/2024-05/ANEXO%2035-2024%20ACUERDO%20N%C2%B0%20029-2024%20REGLAMENTO%20INTERIOR%20CONSEJER%C3%8DA%20JUR%C3%8DDICA%20EJECUTIVO%20DEL%20ESTADO.pdf,,,,,
3,,,COORDINACI‡N DE COMUNICACI‡N,LIC. JOSê LUIS MART÷NEZ JUµREZ,Central,https://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/161.pdf,https://drive.google.com/file/d/1rkDlkvnE4dcEte3d0D49n3_n5L47gMvy/view,Julio 2025,PUBLICADO,04-jul-09,https://www.congresochihuahua2.gob.mx/biblioteca/reglamentos/archivosReglamentos/163.pdf,,,,,
4,,,COORDINACION DE POL÷TICA DIGITAL,ING. WALTER IGNACIO ZAMARR‡N ESTRADA,Central,https://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/161.pdf,https://drive.google.com/file/d/1RP_8aBHPRaInpT8C7R5HW7R0BtkCIplR/view,Octubre 2024,PUBLICADO,22-feb-25,https://chihuahua.gob.mx/sites/default/atach2/periodico-oficial/anexos/2025-02/ANEXO%2016-2025%20ACUERDO%20N%C2%B0%20054-2025%20REGLAMENTO%20INTERIOR%20DE%20LA%20COORDINACI%C3%93N%20DE%20POL%C3%8DTICA%20DIGITAL.pdf,,,,,
5,,,COORDINACI‡N DE RELACIONES PÈBLICAS,LIC. ANA CRISTINA ANAYA MELêNDEZ,Central,https://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/161.pdf,https://drive.google.com/file/d/1ZezJ-MDmlWvlpxqHhGpCf2fyjH5F_-cC/view,Noviembre 2022,PUBLICADO,18-mar-23,https://chihuahua.gob.mx/sites/default/atach2/periodico-oficial/anexos/2023-03/ANEXO%2022-2023%20ACUERDO%20N%C2%BA%20026-2023%20REGLAMENTO%20INTERIOR%20DE%20LA%20COORDINACI%C3%93N%20RELACIONES%20P%C3%9ABLICAS.pdf,,,,,
6,,,FISCAL÷A GENERAL DEL ESTADO,LIC. CêSAR GUSTAVO JµUREGUI MORENO,Central,https://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/161.pdf,https://drive.google.com/file/d/12p_7Oi51uKPOJ8_yfHGMZdtRZjh6ebyj/view,Septiembre 2024,PUBLICADO,08-sep-18,"https://chihuahua.gob.mx/sites/default/atach2/anexo/anexo_72-2018_reglamento_interior_de_la_fiscalia_general_del_estado.pdf
",,,,,
7,,,OFICINA DE LA GUBERNATURA,LIC. FERNANDO µLVAREZ MONJE,Central,https://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/161.pdf,https://drive.google.com/file/d/1FnB6z-ThX7AcM58kzT6WrL9NlPzGP4c4/view,marzo 2024,PUBLICADO,01-may-24,https://chihuahua.gob.mx/sites/default/atach2/periodico-oficial/anexos/2024-05/ANEXO%2035-2024%20ACUERDO%20N%C2%B0%20031-2024%20REGLAMENTO%20INTERIOR%20OFICINA%20GUBERNATURA%20DEL%20ESTADO.pdf,,,,,
8,,,REPRESENTACI‡N DEL GOBIERNO DEL ESTADO EN LA CIUDAD DE MêXICO,LIC. ADRIANA TERRAZAS PORRAS,Central,https://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/161.pdf,https://adjuntos.chihuahua.gob.mx/Dependencias/Central/RPCDMX/ESTRUCTURA%20RPCDMX.pdf,agosto 2022,,,,Se encuentra dentro de las unidades administrativas de la Oficina de la Gubernatura,,,,
9,,,SECRETAR÷A DE COMUNICACIONES Y OBRAS PÈBLICAS,ING. JORGE IGNACIO CHANEZ PE•A,Central,https://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/161.pdf,https://adjuntos.chihuahua.gob.mx/Dependencias/Central/SCOP/ESTRUCTURA%20SCOP.pdf,Junio 2023,PUBLICADO,09-ago-23,https://chihuahua.gob.mx/sites/default/atach2/periodico-oficial/anexos/2023-08/ANEXO%2063-2023%20ACUERDO%20N%C2%BA%20152-2023%20REGLAMENTO%20INTERIOR%20SECRETARI%CC%81A%20COMUNICACIONES%20Y%20OBRAS%20PU%CC%81BLICAS_0.pdf,,,,,
10,,,SECRETAR÷A DE COORDINACI‡N DE GABINETE,SIN TITULAR,Central,https://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/161.pdf,N/A,N/A,PUBLICADO,23-feb-22,https://chihuahua.gob.mx/sites/default/atach2/periodico-oficial/anexos/2022-02/ANEXO%2016-2022%20ACUERDO%20073-2022.pdf,,,,,
